2026-02-24 17:02:36.724 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: BARC.L
2026-02-24 17:02:37.345 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:02:49.351 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: LLOY.L
2026-02-24 17:02:49.920 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:06:31.089 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: BP.L
2026-02-24 17:06:31.627 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:06:43.634 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: HSBA.L
2026-02-24 17:06:44.109 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:06:56.117 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: VOD.L
2026-02-24 17:06:56.584 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:07:08.586 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: BARC.L
2026-02-24 17:07:09.060 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:07:21.061 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: LLOY.L
2026-02-24 17:07:21.530 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:11:23.409 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: BP.L
2026-02-24 17:11:23.922 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:11:35.932 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: HSBA.L
2026-02-24 17:11:37.498 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:11:49.503 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: VOD.L
2026-02-24 17:11:49.962 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:12:01.978 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: BARC.L
2026-02-24 17:12:02.444 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:12:14.459 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: LLOY.L
2026-02-24 17:12:14.944 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:15:06.791 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: BP.L
2026-02-24 17:15:07.269 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:15:19.271 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: HSBA.L
2026-02-24 17:15:19.725 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:15:31.740 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: VOD.L
2026-02-24 17:15:32.204 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:15:44.211 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: BARC.L
2026-02-24 17:15:44.653 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:15:56.658 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: LLOY.L
2026-02-24 17:15:57.113 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:18:16.828 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: BP.L
2026-02-24 17:18:17.333 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:18:29.337 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: HSBA.L
2026-02-24 17:18:29.784 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:18:41.790 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: VOD.L
2026-02-24 17:18:42.257 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:18:54.269 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: BARC.L
2026-02-24 17:18:54.747 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:19:06.749 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: LLOY.L
2026-02-24 17:19:07.189 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:22:14.692 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: AAPL
2026-02-24 17:22:15.159 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:22:27.165 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: MSFT
2026-02-24 17:22:27.625 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:22:39.627 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: TSLA
